name ,category ,deadline ,goal ,pledged ,status,backers ,
SelectCooks.com (Canceled),Web,5/10/2015 2:23,30000,0,canceled,0,
Keystone Grommet: HDMI/USB/ Cat6 in Desks & Office Furniture,Technology,29/5/2014 20:45,8950,532,failed,17,
EZStart™ Charcoal Chimney (Canceled),Gadgets,16/12/2015 2:00,75000,0,canceled,0,
XOWi: The World's First Smart Voice Badge,Hardware,21/11/2013 16:45,100000,38403,failed,252,
Let's drought-proof Australia ... one town at a time,Makerspaces,10/1/2016 13:01,5000000,87,failed,5,
Mitchell & Johnson Electrostatz Headphones,Technology,10/2/2016 22:33,19999,39125.3,successful,360,
Wireless Electricity Bed Lamp,Technology,3/1/2012 2:47,25000,1397,failed,6,
The Brain Crunch Matching Game (see - hear - touch),Apps,22/8/2015 18:32,60000,0,failed,0,
WindPax: Portable Wind Turbines,DIY Electronics,7/6/2014 17:42,50000,84707,successful,481,
BlinkyTile: Build Your Own Dynamic Light Sculptures,Technology,20/10/2014 15:13,7500,22604.71,successful,206,
Central Ohio Astronomical Society Mobile Classroom,Space Exploration,24/11/2015 19:06,20000,19,canceled,5,
Learn Apple Swift (Canceled),Software,9/1/2015 13:34,1500,0,canceled,0,
WW2 D-Day Dakota to fly again!,Flight,30/11/2014 12:30,250000,12053,failed,111,
Smart Language learning by social,Apps,13/11/2014 22:05,100000,11,failed,2,
fred: feed reader extraordinaire,Software,5/7/2013 23:28,30000,4977,failed,34,
Melody Pro - Sheet Music App,Technology,23/12/2013 18:35,2500,247,failed,13,
Open Space - Space Access For All,Space Exploration,6/9/2014 4:59,100000,5568,failed,67,
The First Leather NFC Bracelet - With 3 Chips!,Wearables,2/10/2014 19:55,1600,5030,successful,295,
SelfieSnapShare.com - Social Media with cash,Web,9/10/2014 0:19,3000,0,failed,0,
SmartMat: Wi-Fi floor mat that can alert mobile devices,Hardware,26/4/2014 0:00,15000,7960,failed,91,
MyCACTUS Energy Saving up to 40% EXPERIENCE (Ahorra Energía),Technology,2/11/2015 19:00,250000,8515,failed,44,
Jockey Motion 4-Axis Gimbal & Upgrade Ronin 3-Axis to 4-Axis,Camera Equipment,23/10/2015 7:45,20000,103842,successful,67,
Moon - Make Every Selfie Perfect (Canceled),Gadgets,12/11/2015 1:13,10000,11335.9,canceled,132,
Raindrop,Technology,25/9/2013 21:25,500,12,failed,3,
Help me buy a 3D Printer to use for my GCSE Project,3D Printing,25/9/2014 22:40,60,85,canceled,6,
U plus ---  The gift you can give to the future.,Gadgets,24/8/2014 19:20,20000,1304,failed,15,
Wire in Wired Microphone Audio Cable (Wiwmac).,Gadgets,1/10/2015 8:00,25000,471,failed,31,
Askthegym. Unlimited access to personal trainers for $9.99,Web,28/7/2016 11:11,10000,431,failed,15,
Beta U.S. High Speed Electric Railroad,Flight,18/7/2015 23:44,200000,2,failed,2,
The one app that each student MUST have!,Technology,28/8/2015 16:16,3300,132,failed,9,
Introz Academy - Teaching Children To Program Computers,Technology,30/6/2013 15:07,5000,36,failed,3,
Chocolate Printhead for Open Source 3D Printer,3D Printing,11/4/2015 21:31,50000,2,failed,2,
Do My Odd Jobs,Web,19/9/2015 11:12,3000,5,failed,1,
HANSNAP - A Wearable Smartphone Case - STAFF PICK!,Wearables,18/1/2015 1:19,90000,7527,failed,100,
MM1 Modular 3D Printer - Customize Your Printing Experience,3D Printing,1/11/2014 13:00,50000,56102.96,successful,98,
"Mississippi Aquaponics, Living Supermarket",Gadgets,27/11/2014 17:46,8000,20,failed,1,
Alternative Travel App,Apps,28/8/2016 18:25,5000,22,failed,4,
Play with kittens via robot,Web,9/7/2015 5:32,1000,0,failed,0,
VS Cricket - Grass Roots Cricket,Web,30/9/2015 22:08,25000,0,failed,0,
Techbench Recycling Solutions,Hardware,19/6/2015 16:56,400000,20,failed,1,
Iværksætter Powerhouse,Web,31/10/2015 9:47,150000,0,failed,0,
A project for the fabrication of prototypes for wearables.,Wearables,12/9/2016 2:50,125000,1,failed,1,
Create your Beautiful DIY Mobile Apps,Apps,7/10/2016 6:59,1000,37,failed,4,
Raspberry Pi video monitor with email alerts.,Software,18/9/2015 20:18,9000,73,failed,2,
Black Dove - Don't Let Bikes and Garages Collide,Gadgets,23/7/2015 20:10,85000,865,failed,9,
Learn To Trade Stocks,Web,21/11/2015 21:52,5000,728,failed,10,
Dynevo Drive,Technology,17/10/2014 17:20,25000,2,failed,2,
profiteur.world (Canceled),Apps,9/5/2016 0:01,250000,54,canceled,1,
Koorier - Delivery and Ride-Share App with Flexible Pricing,Apps,18/9/2016 1:56,325,110,failed,8,
"MyArmBot: Open Source, Wireless, Arduino-Android Fit Robot",Hardware,24/4/2014 0:02,6000,1007,failed,21,
Long Distance Student/Teacher Education Platform,Software,31/1/2012 16:53,8000,10,failed,1,
Solar Roofing,Technology,4/10/2016 19:50,50000,2082,failed,20,
BC Pre-vis. Improving How Women Go Through Breast Cancer.,Apps,24/4/2015 2:25,100000,501,failed,11,
Floshare: Interactive Music Creation for iOS & Android,Technology,7/3/2014 17:11,20000,20195,successful,98,
Minim: Pocket-sized Wireless Instrument for Music Creation,Sound,29/8/2015 17:36,40000,145170,successful,1304,
WeRecycle - Interactive Smile Recycle Bin with Feedback,Technology,17/5/2015 21:04,47000,3425,failed,16,
The Ultimate Learn to Code Bundle. Anyone can Code!,Technology,3/11/2016 6:00,500,13520,successful,202,
Hoop Tracker: Basketball Shot Tracking SmartWatch,Hardware,28/4/2014 5:59,100000,37609,failed,119,
FLmini: the ultimate LED Flashlight,Hardware,27/2/2014 4:22,25000,2731,failed,35,
Andrew - An Android makeover,Gadgets,21/2/2015 22:53,500,1,failed,1,
NeBe,Gadgets,5/4/2015 11:37,80000,223,failed,3,
smartPC,Apps,23/8/2015 21:45,60000,130,failed,6,
Employ College 2K,Web,15/2/2015 21:30,10000,56,failed,4,
Autographs,Gadgets,21/3/2016 3:25,20000,56,failed,2,
Open 3D,3D Printing,17/9/2014 23:27,4000,0,failed,0,
Control the world from an Arduino or Raspberry Pi!  DIY,3D Printing,22/4/2015 23:33,8750,5143,canceled,99,
Prevent Computercide With The Vector Cupholder,Technology,1/7/2015 21:08,500,585,successful,14,
PEC.TV,Camera Equipment,22/3/2015 1:04,5000,607,failed,11,
DRONE ZONE - Drone FPV Racing Complex,Flight,15/7/2016 16:30,10000,21,failed,3,
Bento Lab: A DNA laboratory for everybody,Technology,22/4/2016 2:00,40000,152415,successful,708,
WIBOU - secure your car,Gadgets,20/10/2014 17:10,30000,2504,failed,63,
FULLMETAL T-2000,3D Printing,19/5/2015 7:19,50000,100,failed,26,
Jobs2BidOn,Web,5/7/2015 17:45,120000,0,failed,0,
IWANT2GO - Festival and Event Virtual Reality,Gadgets,27/5/2016 10:09,50000,1,failed,1,
Wayne's 3D Printing Emporium,3D Printing,5/8/2014 0:21,700,17.5,failed,3,
Sensoria Artificial Intelligence Sportswear,Wearables,11/8/2016 17:03,35000,36528,successful,71,
28 Days of Hope - An App for Overcoming Depression,Apps,10/9/2014 19:40,5000,65,failed,8,
NavDive -- GPS-based navigation for SCUBA divers,Hardware,13/1/2014 17:16,20000,2163,failed,21,
Ghost Hunter,Software,17/6/2015 5:49,2000,10,failed,2,
oddJobs - Supporting Local Communities,Apps,26/3/2016 0:21,20000,51,failed,3,
Global Seek,Web,26/9/2014 9:05,6000,30,failed,4,
Scriba - the stylus reinvented,Hardware,13/8/2015 10:46,65000,66458.23,successful,450,
Book Content Ratings,Web,13/11/2015 16:57,1000,1002,successful,9,
Cours entre particuliers,Web,25/8/2015 10:28,6000,5,failed,1,
Ratvac (Canceled),Hardware,19/3/2015 20:26,60000,430,canceled,4,
Kal Academy,Software,20/8/2014 3:12,150000,130,failed,3,
MultiDesk Smart Height Adjustable Workstation,Hardware,26/9/2016 18:14,50000,4501,failed,4,
Duplex-Turn your IPhone case into a second phone,Gadgets,11/5/2016 14:32,5000,9722,successful,156,
LuvQuest.com - The social network for singles!,Web,21/1/2015 23:01,55000,2,failed,1,
EZ Ramp,Technology,19/1/2016 15:47,54000,350,failed,1,
Reality Undone,Technology,16/10/2016 0:39,7000,300,failed,1,
You are what you eat!,Apps,18/3/2015 1:57,50000,0,failed,0,
5Threats: Cyber threats defense is Educate->Protect->Verify,Software,10/12/2016 3:00,200000,0,canceled,0,
Digital storage and online community for collectors,Apps,3/4/2015 12:07,167000,3723,failed,32,
RGB-123 Led Matrices,Hardware,12/9/2013 22:41,3000,52118,successful,564,
WitBit (Bluetooth Accessory & Application),Gadgets,17/10/2015 14:34,10000,0,failed,0,
BeerFestivalFinder.com,Web,11/8/2015 6:00,15000,700,failed,14,
Storica - From Sensors to Digital Stories,Software,21/9/2013 16:05,50000,433,failed,7,
Unique portable Gel Pad chargers for iPhone 5 and Android,Hardware,3/4/2014 16:25,10000,214,canceled,8,
Cycling safer: turn signals made easy,Hardware,30/7/2014 14:09,100000,477,failed,15,
RightPSI: Tire Pressure At A Glance,Technology,2/4/2014 7:00,20000,70212.54,successful,1570,
Feeding Lives,Apps,17/9/2015 17:21,1000,20,failed,1,
Meta Strategy Machine (Canceled),Apps,2/8/2016 9:03,250000,0,canceled,0,
Mapping with Drones,Web,9/8/2014 2:00,30000,33272,successful,243,
DriveBetter - the smart driving coach for your teen driver.,Hardware,16/11/2016 22:33,10000,5899,failed,60,
3D Printing Rare Auto Parts,3D Printing,11/4/2015 4:33,1500,0,failed,0,
blutule,Gadgets,14/10/2014 1:57,1200,22,failed,4,
Stabil i4: A Robotic 3-axis Camera Gimbal Stabilizer by,Camera Equipment,11/2/2014 7:26,8000,68561.94,successful,39,
WOON - Student housing reviews,Web,18/12/2015 12:00,15000,130,failed,3,
Solar Boosted Wind Turbine,DIY Electronics,20/2/2016 20:03,20,20,successful,1,
purpleMob,Robots,17/9/2016 19:41,3000,866,failed,14,
TIME OUT: Lock up temptations or discipline kids (Canceled),Gadgets,16/12/2014 21:00,24000,2916,canceled,98,
Build your Website with ZERO Coding,Web,31/8/2016 20:47,3000,0,failed,0,
HUDIFY | A Transparent GPS That Keeps Your Eyes On The Road,Gadgets,22/12/2016 3:00,120000,93181.5,live,1165,
CheckMate Careers,Web,26/10/2015 16:48,15000,55,failed,2,
"3D ""kinkos"" specializing in large scale ABS fabrication",3D Printing,22/3/2015 21:10,4000,0,failed,0,
Grounds App,Apps,22/5/2015 1:00,3000,0,failed,0,
TripLit: The World's First Portable OLED Light,Gadgets,1/7/2015 15:02,50000,51210,successful,292,
Rostrum Camera Stand for Remote Overhead Photos and Video,Camera Equipment,27/5/2015 18:01,7000,2553,failed,67,
WWI Model Planes and Accessories,Flight,17/12/2014 18:44,10000,0,failed,0,
Fame,Apps,31/8/2015 11:43,10000,1,failed,1,
Englewood Codes,Technology,18/5/2013 22:01,5500,10235.51,successful,178,
SAFECYCLE Garage Door Spring Cycle Counter,Gadgets,4/1/2017 18:36,10000,0,live,0,
Customer Service is Dead!,Software,1/9/2009 10:24,15000,0,failed,0,
Electric Snowboard,Gadgets,4/9/2014 22:27,6000,25,failed,1,
Souned.com,Apps,25/3/2015 13:54,30000,50,failed,1,
Memory Pen,Gadgets,27/10/2016 23:00,10000,8237,canceled,99,
REACH Pocket Drones (Suspended),Robots,27/5/2015 1:30,30000,60,suspended,2,
LUZ'sense,Technology,5/4/2016 0:06,5000,2041,failed,51,
Link a Chance reveals your soft skills and what you become,Software,10/6/2015 9:54,35000,5187,failed,10,
The First Affordable Profestional Kitchen Design Platform,Software,12/1/2015 2:00,5000,130,canceled,2,
Kittens vs. Zombies,Apps,12/2/2016 0:52,5000,0,failed,0,
SIT Solutions - Power Utility,Software,4/10/2014 18:54,1500,0,failed,0,
GPS Cookie - Leaving Crumbs Wherever it Goes,Hardware,1/12/2013 17:50,7500,29742,successful,298,
Mouthy App (Canceled),Apps,20/8/2014 20:46,6000,0,canceled,0,
Relatomark,Web,13/9/2014 4:05,15000,0,failed,0,
TheMicroTimes,Web,21/11/2015 13:43,50000,132,failed,5,
Seattle RC Autodromo,DIY Electronics,1/1/2016 22:56,50000,0,failed,0,
w8timez - Social Waiting time for Busy Places,Apps,27/2/2015 8:05,165000,2,failed,2,
FindMe,Web,16/5/2015 14:41,10000,0,failed,0,
GAKU Engine - Dynamic Open Source School Management,Software,23/7/2014 7:58,180000,206,failed,12,
AMPY: Power your devices from your motion,Wearables,10/11/2014 6:59,100000,309323.62,successful,2573,
Filesense Attorney Case Management System (Canceled),Software,17/6/2016 22:50,50000,5,canceled,1,
Map it,Apps,16/4/2015 15:18,30000,0,failed,0,
Shop Without Money with Treasure Circle,Web,25/8/2015 23:04,81000,2275,failed,44,
HomeTraq™ - Remote Home Monitor,Gadgets,8/2/2015 15:12,15000,2896,failed,78,
EasyKnife The all in 1 butter knife (Suspended),Gadgets,23/10/2015 2:58,12000,404,suspended,22,
Help Cali Dronez get off the ground!!!,Flight,28/1/2016 18:28,17000,0,failed,0,
The Zossom Phone Case,Wearables,1/12/2016 18:34,3000,3014,successful,28,
MicroJib | 3 Innovative Products for Your GoPro®,Camera Equipment,18/8/2016 7:59,18000,27067,successful,287,
Only 1 Web Design,Web,1/12/2014 1:42,15000,150,failed,2,
PIF Mobile App,Apps,28/3/2015 19:43,7000,1,failed,1,
EARTH APPROVED APP - The people's Label,Apps,11/2/2016 2:51,5000,533,failed,29,
SuperGamers.org,Web,23/9/2016 19:00,12000,1180,failed,11,
CloudPic Mobile (Suspended),Technology,9/6/2012 0:19,20000,29446,suspended,653,
Team SHARP Alarm,Gadgets,26/4/2016 14:45,50000,739,failed,7,
GIF vs. GIF,Web,28/8/2014 9:26,100,189,successful,31,
JobFinder.Ninja,Web,14/1/2015 23:15,1000,20,failed,1,
Find Me Outdoors Social Networking and Branded Apparel,Web,17/3/2016 19:54,10000,2,failed,2,
Arduino based electronics discovery system - DuinoKit Jr.,DIY Electronics,2/3/2015 5:42,13500,31429,successful,186,
Rex - The collar phone charging pet locating light of safety,Gadgets,10/5/2015 16:54,100000,1,failed,1,
CowLite Utility Software (FREE),Software,13/11/2016 20:59,500,85,failed,4,
TimeSmart,Apps,3/1/2015 1:00,10000,1,failed,1,
Rydhero - Ride service for kids,Technology,16/6/2016 2:01,50000,0,failed,0,
The Realize Legacy - The World's First Digital Heirloom,Apps,29/3/2016 21:25,26320,651,canceled,8,
"Verb It!, verb conjugator/translator and phrasal verb app.",Apps,4/11/2015 18:23,2500,10,failed,1,
DairyTech: Herd & Performance Tracking Software for Dairies,Apps,26/11/2016 23:41,250000,1,failed,1,
Oriz,Apps,1/6/2016 23:59,60000,0,failed,0,
Help Detroit Students SOAR!,Apps,27/6/2015 5:11,101111,1921,failed,16,
Holovect: Holographic Vector Display,Technology,11/11/2016 19:00,45000,70742.81,successful,240,
InnoGro AquaGarden - Fresh Food Grown Right at Home,Technology,24/5/2016 4:00,150000,10267,failed,35,
Protect-A-Vial (Canceled),Technology,8/5/2015 17:57,50000,10,canceled,1,
Building the Playa Blanca Community Wind Workshop!,Makerspaces,5/7/2016 6:59,35000,21994,failed,171,
Twitter #ShoutOut App,Technology,28/5/2011 9:48,15000,0,failed,0,
Re:Load Pro: A DC active load,Hardware,5/5/2014 10:02,6000,24270.49,successful,361,
Formula Pi - Self-driving robot racing with the Raspberry Pi,Robots,22/8/2016 21:00,2500,8685,successful,106,
CatchApp a better location-based reminder app for iPhone,Technology,3/4/2012 1:32,5000,12,failed,3,
Upgrading my self-built desktop computer! (Suspended),Gadgets,23/8/2014 2:46,500,25,suspended,1,
"""Rescue Me"" Fire Service Rescue Tool",Hardware,28/6/2015 18:56,25000,0,failed,0,
MySummoner website for League of Legends (Canceled),Web,14/12/2014 22:40,10000,0,canceled,0,
Swipe and Share,Software,26/9/2015 7:51,300000,0,failed,0,
"AC2LED, an ultra low power LED lighting (and repels bugs)",Hardware,18/4/2014 18:39,3600,271,failed,4,
Battle Buddies™,Apps,5/10/2015 16:39,5000,160,failed,6,
303 SS Pen,Gadgets,1/4/2016 0:34,5000,2287,failed,39,
SELFSKIE | Attach Your Smartphone Or GoPro® To Any Stick,Camera Equipment,20/10/2016 13:18,10000,16021,successful,333,
MakersUnited!  Value the Craft,Makerspaces,21/11/2015 20:00,15000,16098,successful,70,
Tunnel Lab - Tech startup accelerator hubs in the favelas,Makerspaces,19/12/2014 20:38,25000,2836,failed,84,
Rebuilding America: Innovative Bridge Technology,Technology,9/1/2015 22:39,3000,980,failed,12,
Gudwill - Environmental Action Online Resource & Community,Web,18/11/2015 19:35,39298,641,failed,6,
FlippenMusic iPhone/Android App - Live Q&A chat,Software,23/9/2013 20:23,15000,236,failed,18,
iStreamJobs,Software,1/1/2015 4:38,50000,2298,failed,16,
Arduino HowTo - Video Seminar & BBQ Event :-),Wearables,18/6/2015 6:18,555,761,successful,43,
EducatingDads.org (ED's),Web,22/8/2014 15:00,10000,5,failed,1,
SwarmLocal. Anonymous Proximity. (Canceled),Technology,6/10/2013 15:28,30000,207,canceled,9,
Harbor Love: A Website for Lovers,Software,10/12/2010 11:02,500,0,failed,0,
Break the online dating cycle! Try baeList today!,Apps,3/9/2016 5:04,7000,66,canceled,5,
The Community Surveillance Device,Hardware,24/2/2015 8:16,200000,37,failed,9,
STEM supplies prepare for real world solutions,Technology,15/5/2016 17:22,800,12,failed,3,
Camera Cuddlers-Smartphone Photography Made Easy for All,Camera Equipment,11/10/2016 20:30,35000,790,failed,16,
Cities at Night,Space Exploration,10/10/2015 17:01,50000,9534,failed,206,
The Vacay App,Apps,28/11/2015 5:32,30000,45,failed,17,
Xcope: Virtual & Augmented Reality Headset for Smartphones,Hardware,3/12/2013 18:48,50000,17511,failed,292,
Live To Race! Interactive Racing Safety Platform,Software,10/9/2015 23:01,50000,50380,successful,70,
The DART - Electronics Reset Tool,DIY Electronics,2/4/2015 13:29,6000,402,failed,49,
Help (13 yo) Isaac marry Raspberry PI to Quadcopter,Robots,28/5/2014 19:07,2000,2036,successful,21,
Handibot™: A Smart Digital Power Tool,Fabrication Tools,1/8/2013 1:00,125000,349498.79,successful,362,
Nibble - Pocket Sized Arduino (WIFI + OLED + SD CARD + IR ),Hardware,15/10/2015 22:42,28000,2465,failed,51,
LGBTQIA+ Dating Platform & App,Apps,6/8/2016 23:21,4000,15,failed,3,
Tangeez - Tangible Lights,Gadgets,20/10/2013 23:34,49000,51371,successful,413,
"STAGE 5 Dock - First Smartdock for Iphone, Android & Tablets",Hardware,17/6/2014 15:59,5000,8458,successful,165,
Incaseofsos.com,Web,18/10/2014 21:55,50000,0,failed,0,
Intelligent Meal Planning App for Health-Conscious People,Software,1/2/2014 1:11,10000,761,failed,18,
Irish Speed Vans Application,Apps,5/12/2016 15:30,20000,1707,failed,126,
Automotive Parts Search Engine,Web,28/6/2016 23:57,50000,33,failed,5,
i-Drive Mobile Technologies,Technology,30/6/2015 0:22,400000,0,failed,0,
Namaste Training Solutions,Software,5/7/2014 18:16,4500,4855,successful,98,
VIRTUAL POWER PLANT - Renewable Energy & Cooling,Technology,11/2/2013 19:58,65000,374,failed,11,
4De Estreets,Apps,31/1/2015 15:58,30000,12,failed,3,
WeatherDay,Software,4/10/2014 2:41,10000,75,failed,2,
Nimbus 2.0:The World's first Smart Towel Rack (Suspended),Hardware,4/10/2015 14:48,500,7490,suspended,38,
Joyful Oyster - Local Handmade Goods,Technology,30/11/2011 4:17,2000,0,failed,0,
Plugfones - Bluetooth Earplug Headphones - Music Calls Quiet,Sound,13/5/2016 11:46,35000,427247.5,successful,4851,
Mzm Theatre,Technology,29/12/2015 18:48,50000,40,canceled,1,
Cubetto - Hands on coding for ages 3 and up,Hardware,7/4/2016 11:51,100000,1596457.66,successful,6553,
Lettstry something new!,Web,5/5/2015 8:41,1000,0,failed,0,
NFire 1 - Worlds First Truly Modular 3D Printer,3D Printing,7/9/2015 0:59,30000,31794,successful,75,
"The SpilliNator - Splash-Free Coffee & Tea ""On-the-Go!""",Gadgets,18/7/2014 8:59,32000,32347,successful,50,
Supershapes,Technology,9/8/2015 0:45,5000,68,failed,2,
WalkJogRun Running Routes Android App,Technology,2/6/2012 22:22,30000,698,failed,39,
Developing a Startup Hub in Historical Fayetteville Landmark,Makerspaces,19/6/2015 21:49,25000,945,failed,14,
Resonating Meditation Platform,Sound,7/11/2016 1:34,35000,10560,failed,22,
IPSUM SOFTWARE,Software,28/7/2016 16:57,100000,0,failed,0,
GoTrain,Apps,28/11/2014 3:02,15000,641,failed,14,
Makersmiths 2.0,Makerspaces,22/7/2016 20:34,45000,16949,failed,65,
Sia Furler Fan forum,Web,10/11/2014 18:00,200,0,failed,0,
Selfless,Technology,5/12/2015 19:42,25000,0,failed,0,
"Liando, der online Möbel-Kleinanzeigenmarkt",Apps,22/10/2016 13:11,45000,0,canceled,0,
New Earth Power - Supplying Power to All People,Technology,27/4/2016 22:55,5000000,50,failed,6,
Fret Laser Module! - Pro Quality Guitar Lighting,Hardware,26/4/2015 6:57,7000,7007,successful,32,
Bitidentify Anty Hacking IT Technology (Canceled),Hardware,24/11/2015 16:09,500000,0,canceled,0,
Boombotix Music Sync App,Technology,7/12/2013 17:49,15000,17062,successful,316,
Wenlin ABC Cantonese Dictionary Website (ed. Robert Bauer),Web,14/12/2016 13:58,50000,52312,live,750,
Spew Venom,Web,29/10/2014 13:51,25000,1,failed,1,
PABAsoft - Improving therapy services for special children,Software,23/2/2015 21:46,30000,53,failed,5,
COMPUTERS FOR CHRISTIANS,Apps,16/5/2015 6:19,10000000,2,failed,2,
Do Whats Never Been Done - The Future of Fitness,Web,17/3/2016 21:20,500,17,failed,3,
3D Printer Electronic Kit | Baboi Box (Canceled),3D Printing,22/11/2013 1:22,20000,10386,canceled,14,
ThankIt (Canceled),Apps,5/4/2015 23:36,20000,100,canceled,1,
Konekt Dash: Cellular Dev Kit + Free Global Data Plan,DIY Electronics,1/5/2015 19:00,10000,76170,successful,701,
June Sky: H202 Rocket,Hardware,6/8/2012 17:00,850,1049,successful,43,
Upix (Canceled),Apps,13/4/2015 22:00,1900,1,canceled,1,
Luggage Free Trips,Web,7/6/2015 5:45,50000,201,failed,3,
Retractable Scalpel Pocket Knife,Gadgets,22/11/2015 0:32,1000,4791,successful,80,
Licence Plate Communication App,Software,14/3/2015 0:21,30000,0,failed,0,
The Joy of jQuery,Software,26/7/2013 22:22,3000,9177.61,successful,635,
Sifu: Empower Your Learning,Technology,20/5/2013 17:39,15000,1036,failed,19,
FLIP-ON-BIT,Fabrication Tools,9/8/2015 13:35,15000,375,failed,11,
Talk Family,Apps,14/11/2015 22:24,39500,170,failed,5,
StoryHome: The Connected Storytelling Device,Gadgets,24/6/2015 10:00,140000,18334,failed,132,
"BLUEGUARD-E, World’s Safest Smart Lock for Everyone",Gadgets,1/2/2016 23:05,80000,19193,failed,117,
Stop-Motion Product Reviews,Technology,17/12/2015 0:20,100,0,failed,0,
#TBT - Throwback Thursday Made Simple!,Apps,25/7/2016 18:29,15000,0,failed,0,
Therapist Health Professionals App,Apps,24/3/2015 21:33,1500,156,failed,4,
young makers group,DIY Electronics,14/7/2014 7:48,3501,11,failed,3,
We want 64-bit Android on our Note 4 and Tab S2 9.7,Software,24/12/2015 21:48,1000,4,suspended,4,
Lifebringer Diabetes,Software,24/6/2014 19:55,10000,2300,failed,33,
"blink(1), the USB RGB LED",Hardware,13/8/2012 8:01,29000,132317.99,successful,2655,
On The Property Ladder,Software,18/11/2014 21:51,12000,0,failed,0,
99 Bottles,Apps,15/12/2014 3:47,50000,0,failed,0,
SCUBAJET. World’s first flexible water sports jet-engine,Gadgets,1/9/2016 10:35,150000,53597.3,canceled,70,
Put Messages In Their Place With TiLoTag!,Software,17/7/2014 17:21,10000,10316,successful,133,
Enbegen,Apps,1/9/2015 22:24,65000,280,failed,3,
felnet - Your New Social Network,Web,8/10/2015 8:00,3500,30,failed,1,
AllHands,Software,6/5/2016 21:06,5000,536,failed,9,
A Cloud-Computing Based Sprinkler Controller,Hardware,8/11/2013 21:08,100000,596,failed,7,
"Spivo | The Ultimate Selfie Stick for GoPro, iPhone and more",Camera Equipment,23/7/2015 22:09,30000,17733,failed,206,
Sqipe App,Apps,1/1/2016 7:15,559000,1,failed,1,
"Helping ""difficult"" friends find love.",Web,2/9/2014 21:05,25000,10,failed,1,
What's hot and happening right now,Apps,6/12/2015 19:35,10000,0,failed,0,
Hardware for Media student,Hardware,20/8/2014 17:22,2200,0,failed,0,
My Dream Job! (Canceled),Hardware,7/9/2014 17:39,15000,0,canceled,0,
HiFly: Affordable 3D Virtual Reality Headset & 3D Mobile app,Hardware,22/3/2015 23:51,14000,1432,failed,28,
3D Holographic Display,Gadgets,4/9/2015 2:00,1500,897,failed,23,
insect-drugs-seal (Canceled),Technology,16/7/2014 14:25,90000,20,canceled,1,
"Two big markets, one exciting vision. (Canceled)",Web,8/3/2015 1:26,15000,0,canceled,0,
Trigger Trap: The Universal Camera Trigger,Camera Equipment,31/7/2011 19:59,25000,77262.14,successful,898,
Auto Fall Alarm Wearable & way more. Family Care done right,Wearables,21/7/2016 16:00,200000,11467,canceled,19,
BUZZ ME - CONNECT AND SHARE,Software,23/4/2015 1:52,50000,200,failed,1,
Launching Mommy's ToolBox,Web,14/6/2015 3:28,5000,5168,successful,64,
"HeadPal - Enjoy Face-time, Netflix and Skype, Handsfree!",Gadgets,25/1/2016 13:58,20000,10762,failed,87,
THINGY -- A Bluetooth device for everyday life - PSOC BTLE,Gadgets,18/12/2014 21:01,5000,11894,successful,147,
Scan and Tell smartphone App for Visually Impaired,Apps,13/12/2014 9:34,7500,160,failed,3,
Project Safety: The Future of High-Tech Personal Security,Apps,12/2/2015 0:48,25000,2881,failed,47,
iHomeRegistry organize your new home! create and design!,Apps,1/10/2015 2:18,14500,250,failed,1,
PowerShower: Shower Smarter. Powered to save water.,Technology,20/2/2016 23:00,100000,6418,failed,15,
Digital Fire Command Software,Technology,4/2/2012 15:28,50000,36,failed,3,
"Mobile Hero, Inc. an application to end to Unemployment",Web,19/10/2015 10:40,400000,20,canceled,1,
ACTIONCAM360. 360° panoramic video lens for GoPro & Similar,Hardware,15/12/2013 18:36,5000,3141,canceled,12,
Lynx Wind Turbines,DIY Electronics,30/11/2016 18:38,65000,250,failed,7,
Sampling the Dream,Sound,5/8/2014 9:47,1000,230,failed,6,
Stocklicious - The Mobile App,Apps,29/8/2015 22:03,5000,0,failed,0,
Gotta: Individual Skills Trading Platform,Apps,3/5/2015 7:20,65375,1,failed,1,
Dead Simple Photo Arranger,Technology,17/8/2013 18:48,3000,181,failed,17,
"Hydro Abrasive Rescue Tool - Develop 30,000 PSI Version",Hardware,1/6/2013 4:17,70000,238,failed,11,
Arthrow,Software,1/8/2010 14:30,10000,1940,failed,28,
Chingadero Quick Fix,Hardware,18/1/2013 2:58,5000,1737.77,failed,145,
Save Energy with SerraView Smart Daylighters,Hardware,8/12/2014 0:07,100000,3081,failed,20,
Ring Revolution by HEXAGON,Gadgets,30/11/2016 15:19,40000,6185,suspended,171,
Deep Dream Generator,Software,30/9/2015 15:32,7500,10,failed,2,
Teach Reach Smartphone App,Apps,30/8/2014 23:11,500,33,failed,7,
The CoreConduit - Garden Controller,Technology,20/4/2015 20:09,10000,105,failed,1,
Handyman,Software,7/6/2016 7:36,1500,0,failed,0,
Team 6040: GetoBotics (Canceled),Robots,24/2/2016 17:59,5500,15,canceled,1,
Project Smoke (Canceled),Apps,11/10/2015 2:05,85000,0,canceled,0,
HyEnergy Power System: Renewable Energy Power for Your Home,Hardware,28/8/2014 1:47,10000,439,failed,17,
Hand Held Mouse/T-Mouse Project,Hardware,16/5/2013 19:56,34000,412,failed,6,
"SQL Programming, the easy way  (e-book,iBook and course)",Software,18/11/2012 20:45,2500,4037,successful,324,
